Question,Intent,Destination
Navigate to Prayer Room.,Navigate,Prayer Room
Navigate to ATM.,Navigate,ATM
Navigate to Cardiology.,Navigate,Cardiology
Navigate to Neurology.,Navigate,Neurology
Navigate to Gastroenterology.,Navigate,Gastroenterology
Navigate to Orthopedics.,Navigate,Orthopedics
Navigate to Pediatrics.,Navigate,Pediatrics
Navigate to ENT.,Navigate,ENT
Navigate to Dermatology.,Navigate,Dermatology
Navigate to Urology.,Navigate,Urology
Navigate to Physiotherapy.,Navigate,Physiotherapy
Navigate to Consultation Room 1.,Navigate,Consultation Room 1
Navigate to Consultation Room 2.,Navigate,Consultation Room 2
Navigate to Radiology.,Navigate,Radiology
Navigate to MRI.,Navigate,MRI
Navigate to CT Scan.,Navigate,CT Scan
Navigate to Ultrasound.,Navigate,Ultrasound
Navigate to ICU.,Navigate,ICU
Navigate to NICU.,Navigate,NICU
Navigate to PICU.,Navigate,PICU
Navigate to Operation Theatre 1.,Navigate,Operation Theatre 1
Navigate to Operation Theatre 2.,Navigate,Operation Theatre 2
Navigate to Recovery Room.,Navigate,Recovery Room
Navigate to Ophthalmology.,Navigate,Ophthalmology
Navigate to Dental.,Navigate,Dental
Directions to Reception.,Navigate,Reception
Directions to Registration.,Navigate,Registration
Directions to Billing.,Navigate,Billing
Directions to Emergency Department.,Navigate,Emergency Department
Directions to Triage.,Navigate,Triage
Directions to Pharmacy.,Navigate,Pharmacy
Directions to Laboratory.,Navigate,Laboratory
Directions to Blood Collection.,Navigate,Blood Collection
Directions to Cafeteria.,Navigate,Cafeteria
Directions to Coffee Shop.,Navigate,Coffee Shop
Directions to Prayer Room.,Navigate,Prayer Room
Directions to ATM.,Navigate,ATM
Directions to Cardiology.,Navigate,Cardiology
Directions to Neurology.,Navigate,Neurology
Directions to Gastroenterology.,Navigate,Gastroenterology
Directions to Orthopedics.,Navigate,Orthopedics
Directions to Pediatrics.,Navigate,Pediatrics
Directions to ENT.,Navigate,ENT
Directions to Dermatology.,Navigate,Dermatology
Directions to Urology.,Navigate,Urology
Directions to Physiotherapy.,Navigate,Physiotherapy
Directions to Consultation Room 1.,Navigate,Consultation Room 1
Directions to Consultation Room 2.,Navigate,Consultation Room 2
Directions to Radiology.,Navigate,Radiology
Directions to MRI.,Navigate,MRI
Directions to CT Scan.,Navigate,CT Scan
Directions to Ultrasound.,Navigate,Ultrasound
Directions to ICU.,Navigate,ICU
Directions to NICU.,Navigate,NICU
Directions to PICU.,Navigate,PICU
Directions to Operation Theatre 1.,Navigate,Operation Theatre 1
Directions to Operation Theatre 2.,Navigate,Operation Theatre 2
Directions to Recovery Room.,Navigate,Recovery Room
Directions to Ophthalmology.,Navigate,Ophthalmology
Directions to Dental.,Navigate,Dental
Find Reception.,Navigate,Reception
Find Registration.,Navigate,Registration
Find Billing.,Navigate,Billing
Find Emergency Department.,Navigate,Emergency Department
Find Triage.,Navigate,Triage
Find Pharmacy.,Navigate,Pharmacy
Find Laboratory.,Navigate,Laboratory
Find Blood Collection.,Navigate,Blood Collection
Find Cafeteria.,Navigate,Cafeteria
Find Coffee Shop.,Navigate,Coffee Shop
Find Prayer Room.,Navigate,Prayer Room
Find ATM.,Navigate,ATM
Find Cardiology.,Navigate,Cardiology
Find Neurology.,Navigate,Neurology
Find Gastroenterology.,Navigate,Gastroenterology
Find Orthopedics.,Navigate,Orthopedics
Find Pediatrics.,Navigate,Pediatrics
Find ENT.,Navigate,ENT
Find Dermatology.,Navigate,Dermatology
Find Urology.,Navigate,Urology
Find Physiotherapy.,Navigate,Physiotherapy
Find Consultation Room 1.,Navigate,Consultation Room 1
Find Consultation Room 2.,Navigate,Consultation Room 2
Find Radiology.,Navigate,Radiology
Find MRI.,Navigate,MRI
Find CT Scan.,Navigate,CT Scan
Find Ultrasound.,Navigate,Ultrasound
Find ICU.,Navigate,ICU
Find NICU.,Navigate,NICU
Find PICU.,Navigate,PICU
Find Operation Theatre 1.,Navigate,Operation Theatre 1
Find Operation Theatre 2.,Navigate,Operation Theatre 2
Find Recovery Room.,Navigate,Recovery Room
Find Ophthalmology.,Navigate,Ophthalmology
Find Dental.,Navigate,Dental
Nearest Reception.,Navigate,Reception
Nearest Registration.,Navigate,Registration
Nearest Billing.,Navigate,Billing
Nearest Emergency Department.,Navigate,Emergency Department
Nearest Triage.,Navigate,Triage
Nearest Pharmacy.,Navigate,Pharmacy
Nearest Laboratory.,Navigate,Laboratory
Nearest Blood Collection.,Navigate,Blood Collection
Nearest Cafeteria.,Navigate,Cafeteria
Nearest Coffee Shop.,Navigate,Coffee Shop
Nearest Prayer Room.,Navigate,Prayer Room
Nearest ATM.,Navigate,ATM
Nearest Cardiology.,Navigate,Cardiology
Nearest Neurology.,Navigate,Neurology
Nearest Gastroenterology.,Navigate,Gastroenterology
Nearest Orthopedics.,Navigate,Orthopedics
Nearest Pediatrics.,Navigate,Pediatrics
Nearest ENT.,Navigate,ENT
Nearest Dermatology.,Navigate,Dermatology
Nearest Urology.,Navigate,Urology
Nearest Physiotherapy.,Navigate,Physiotherapy
Nearest Consultation Room 1.,Navigate,Consultation Room 1
Nearest Consultation Room 2.,Navigate,Consultation Room 2
Nearest Radiology.,Navigate,Radiology
Nearest MRI.,Navigate,MRI
Nearest CT Scan.,Navigate,CT Scan
Nearest Ultrasound.,Navigate,Ultrasound
Nearest ICU.,Navigate,ICU
Nearest NICU.,Navigate,NICU
Nearest PICU.,Navigate,PICU
Nearest Operation Theatre 1.,Navigate,Operation Theatre 1
Nearest Operation Theatre 2.,Navigate,Operation Theatre 2
Nearest Recovery Room.,Navigate,Recovery Room
Nearest Ophthalmology.,Navigate,Ophthalmology
Nearest Dental.,Navigate,Dental
Can you help me find Reception?,Navigate,Reception
Can you help me find Registration?,Navigate,Registration
Can you help me find Billing?,Navigate,Billing
Can you help me find Emergency Department?,Navigate,Emergency Department
Can you help me find Triage?,Navigate,Triage
Can you help me find Pharmacy?,Navigate,Pharmacy
Can you help me find Laboratory?,Navigate,Laboratory
Can you help me find Blood Collection?,Navigate,Blood Collection
Can you help me find Cafeteria?,Navigate,Cafeteria
Can you help me find Coffee Shop?,Navigate,Coffee Shop
Can you help me find Prayer Room?,Navigate,Prayer Room
Can you help me find ATM?,Navigate,ATM
Can you help me find Cardiology?,Navigate,Cardiology
Can you help me find Neurology?,Navigate,Neurology
Can you help me find Gastroenterology?,Navigate,Gastroenterology
Can you help me find Orthopedics?,Navigate,Orthopedics
Can you help me find Pediatrics?,Navigate,Pediatrics
Can you help me find ENT?,Navigate,ENT
Can you help me find Dermatology?,Navigate,Dermatology
Can you help me find Urology?,Navigate,Urology
Can you help me find Physiotherapy?,Navigate,Physiotherapy
Can you help me find Consultation Room 1?,Navigate,Consultation Room 1
Can you help me find Consultation Room 2?,Navigate,Consultation Room 2
Can you help me find Radiology?,Navigate,Radiology
Can you help me find MRI?,Navigate,MRI
Can you help me find CT Scan?,Navigate,CT Scan
Can you help me find Ultrasound?,Navigate,Ultrasound
Can you help me find ICU?,Navigate,ICU
Can you help me find NICU?,Navigate,NICU
Can you help me find PICU?,Navigate,PICU
Can you help me find Operation Theatre 1?,Navigate,Operation Theatre 1
Can you help me find Operation Theatre 2?,Navigate,Operation Theatre 2
Can you help me find Recovery Room?,Navigate,Recovery Room
Can you help me find Ophthalmology?,Navigate,Ophthalmology
Can you help me find Dental?,Navigate,Dental
I have an appointment at Reception.,Navigate,Reception
I have an appointment at Registration.,Navigate,Registration
I have an appointment at Billing.,Navigate,Billing
I have an appointment at Emergency Department.,Navigate,Emergency Department
I have an appointment at Triage.,Navigate,Triage
I have an appointment at Pharmacy.,Navigate,Pharmacy
I have an appointment at Laboratory.,Navigate,Laboratory
I have an appointment at Blood Collection.,Navigate,Blood Collection
I have an appointment at Cafeteria.,Navigate,Cafeteria
I have an appointment at Coffee Shop.,Navigate,Coffee Shop
I have an appointment at Prayer Room.,Navigate,Prayer Room
I have an appointment at ATM.,Navigate,ATM
I have an appointment at Cardiology.,Navigate,Cardiology
I have an appointment at Neurology.,Navigate,Neurology
I have an appointment at Gastroenterology.,Navigate,Gastroenterology
I have an appointment at Orthopedics.,Navigate,Orthopedics
I have an appointment at Pediatrics.,Navigate,Pediatrics
I have an appointment at ENT.,Navigate,ENT
I have an appointment at Dermatology.,Navigate,Dermatology
I have an appointment at Urology.,Navigate,Urology
I have an appointment at Physiotherapy.,Navigate,Physiotherapy
I have an appointment at Consultation Room 1.,Navigate,Consultation Room 1
I have an appointment at Consultation Room 2.,Navigate,Consultation Room 2
I have an appointment at Radiology.,Navigate,Radiology
I have an appointment at MRI.,Navigate,MRI
I have an appointment at CT Scan.,Navigate,CT Scan
I have an appointment at Ultrasound.,Navigate,Ultrasound
I have an appointment at ICU.,Navigate,ICU
I have an appointment at NICU.,Navigate,NICU
I have an appointment at PICU.,Navigate,PICU
I have an appointment at Operation Theatre 1.,Navigate,Operation Theatre 1
I have an appointment at Operation Theatre 2.,Navigate,Operation Theatre 2
I have an appointment at Recovery Room.,Navigate,Recovery Room
I have an appointment at Ophthalmology.,Navigate,Ophthalmology
I have an appointment at Dental.,Navigate,Dental
Please take me to Reception.,Navigate,Reception
Please take me to Registration.,Navigate,Registration
Please take me to Billing.,Navigate,Billing
Please take me to Emergency Department.,Navigate,Emergency Department
Please take me to Triage.,Navigate,Triage
Please take me to Pharmacy.,Navigate,Pharmacy
Please take me to Laboratory.,Navigate,Laboratory
Please take me to Blood Collection.,Navigate,Blood Collection
Please take me to Cafeteria.,Navigate,Cafeteria
Please take me to Coffee Shop.,Navigate,Coffee Shop
Please take me to Prayer Room.,Navigate,Prayer Room
Please take me to ATM.,Navigate,ATM
Please take me to Cardiology.,Navigate,Cardiology
Please take me to Neurology.,Navigate,Neurology
Please take me to Gastroenterology.,Navigate,Gastroenterology
